12/16/22 1:08:14 PM | ferg | https://open.spotify.com/album/3X8OMpgoNyMvOEZSKvDjbh?si=vfomZ52oQvGVUBDP7gyd1Q | album
12/18/22 6:20:02 PM | dave | https://open.spotify.com/album/1QSo9HgowUqAc5BI3AdkqN?si=XN7pbTkeTz2hNMxLmpjWlg | album
12/24/22 9:57:47 AM | dave | https://open.spotify.com/album/41h4pqwFRxXDXWsd61hHad?si=3MOihmO9TQuFqbeh5rJEXw | album
12/24/22 12:15:44 PM | neil | https://open.spotify.com/album/39nc3VlNHjZBenrNdHPeJx?si=VIX9eBzXQy6WOHbj9HAtsw | album
12/24/22 12:53:16 PM | rory | https://open.spotify.com/album/6Us4bUcM3WxHFycXSJDr9w?si=7CfpA_TTRHiVtXxDJbY2xQ | album
12/24/22 4:03:04 PM | ferg | https://open.spotify.com/album/2ge6eVAMFNWS5srqDbudEq?si=ioLA_J48RfafRC-U7yFQkg | album
12/31/22 7:31:50 AM | ferg | https://open.spotify.com/album/2tgudp9hOiaRWNtL5hxcM0?si=aLYbJzuPSEKdfTNZPmuf-A | album
12/31/22 7:53:10 AM | neil | https://open.spotify.com/album/5lICxaH7i12zXxQGjd2Mjn?si=kPI7OA9CRp6dms_9Hjm4kA | album
1/1/23 10:34:56 AM | dave | https://open.spotify.com/album/1QqipMXWzJhr6yfcNKTp8B?si=tqRS2oJKSoKCheahKAX-og | album
1/2/23 1:55:46 PM | rory | https://open.spotify.com/album/5ifRlHZX33kTfE5kb1Cpf1?si=bXQKdQGRQAuC25uimGjFoA | album
1/7/23 4:27:41 AM | neil | https://open.spotify.com/album/0Ojio25IPzIrw1rUmgrhrG?si=iVzeaBfhQwKjIAeWytqJFw | album
1/7/23 5:13:18 AM | rory | https://open.spotify.com/album/3OVjVda1JGC0lEvWHD6XSX?si=ATz3RKuNQ4GanZct_F5dmA | album
1/9/23 11:40:55 AM | ferg | https://open.spotify.com/album/7umVRtgBbdU9Zj1K8a1o53?si=mnlHizMVSUOsXxwWYDF7Qw | album
1/9/23 4:11:35 PM | dave | https://open.spotify.com/album/5jyfyM8Cinnh05OswtWv41?si=L89NP3ToQpW4tFnOJn5Umw | album
1/13/23 10:39:44 AM | rory | https://open.spotify.com/album/7GSns2ugJLN11Xo9VwKWqR?si=n7y39nQmTC61w3Yb_-e9sw | album
1/13/23 11:14:28 AM | neil | https://open.spotify.com/album/6ZbeAO3P5TePTAeA0hgfVP?si=fr5OOe5MSsCxt4qe9UJDfg | album
1/13/23 11:31:34 AM | ferg | https://open.spotify.com/album/2y3Rm0cT1xbf2NoTQwKv99?si=39PWOM6nQ4ijvQd_TgetAg | album
1/17/23 10:19:24 AM | dave | https://open.spotify.com/album/4FUnAUvUAz3Z8pIwWlQJC7?si=sW3pwC0eTmOWgh9SPL-z8A | album
